Frame,radarX,radarY,RX,RY,RX,RY,RX,RY,RX,RY,RX,RY
94,36.3841,351.164,-587.632,2599.42,-792.678,3764.06,-899.564,4838.19,-931.632,5927.91,-1009.18,7099.29
95,36.5654,356.523,-587.629,2599.44,-792.622,3764.07,-899.284,4838.42,-931.676,5928.01,-1009.13,7099.24
96,36.5626,360.964,-587.729,2599.44,-792.669,3764.1,-899.922,4838.5,-931.843,5928.19,-1009.12,7099.26
97,35.5748,366.228,-587.264,2599.72,-792.717,3764.12,-899.534,4838.72,-931.9,5928.25,-1009.15,7099.3
98,36.1378,371.138,-587.295,2599.69,-792.727,3764.11,-899.398,4838.56,-931.768,5928.12,-1009.16,7099.34
99,36.2912,375.77,-587.654,2599.37,-792.726,3764.07,-899.207,4838.37,-931.605,5927.96,-1009.16,7099.36
100,36.5349,380.549,-587.66,2599.36,-792.721,3764.03,-899.457,4838.26,-931.643,5927.95,-1009.13,7099.34
101,35.5904,384.975,-587.72,2599.37,-792.721,3764.03,-899.722,4838.41,-931.822,5928.11,-1009.1,7099.32
102,36.0028,389.912,-587.744,2599.38,-792.713,3764.07,-899.874,4838.55,-931.932,5928.22,-1009.1,7099.34
103,36.4315,394.994,-587.247,2599.73,-792.694,3764.14,-899.911,4838.48,-931.848,5928.18,-1009.12,7099.38
104,36.5803,399.999,-587.646,2599.44,-792.69,3764.2,-899.32,4838.49,-931.684,5928.08,-1009.19,7099.45
105,37.1208,404.182,-587.65,2599.44,-792.711,3764.21,-899.159,4838.5,-931.58,5928.05,-1009.2,7099.47
106,37.1341,409.414,-587.719,2599.41,-792.749,3764.17,-899.336,4838.59,-931.68,5928.14,-1009.16,7099.44
107,36.7892,414.135,-587.787,2599.39,-792.763,3764.16,-899.583,4838.73,-931.879,5928.26,-1009.14,7099.4
108,37.209,419.192,-587.774,2599.41,-792.772,3764.13,-899.604,4838.66,-931.916,5928.22,-1009.14,7099.31
109,37.2025,424.069,-587.673,2599.43,-792.719,3764.13,-899.411,4838.46,-932.232,5927.91,-1009.18,7099.33
110,37.6063,428.684,-587.635,2599.42,-792.718,3764.13,-899.165,4838.33,-932.117,5927.79,-1009.18,7099.31
111,37.3823,431.993,-587.669,2599.38,-792.724,3764.12,-899.184,4838.45,-932.143,5927.83,-1009.19,7099.32
112,37.3544,437.482,-587.764,2599.35,-792.784,3764.1,-899.465,4838.61,-932.292,5928,-1009.17,7099.3
113,37.562,443.557,-587.852,2599.32,-792.837,3764.09,-899.606,4838.68,-932.412,5928.1,-1009.15,7099.27
114,38.1744,448.978,-587.801,2599.36,-792.851,3764.08,-899.539,4838.52,-932.351,5927.99,-1009.16,7099.27
115,38.3364,454.25,-587.692,2599.42,-792.811,3764.1,-899.313,4838.31,-932.199,5927.82,-1009.17,7099.31
116,38.3853,458.811,-587.623,2599.45,-792.694,3764.12,-899.161,4838.31,-932.125,5927.8,-1009.16,7099.32
117,38.7015,463.406,-587.636,2599.44,-792.585,3764.13,-899.589,4838.4,-932.196,5927.95,-1009.14,7099.31
118,37.8471,468.203,-587.198,2599.7,-792.569,3764.12,-899.757,4838.63,-932.29,5928.13,-1009.14,7099.26
119,38.2262,472.569,-587.256,2599.67,-792.671,3764.11,-899.484,4838.69,-932.267,5928.11,-1009.15,7099.28
120,38.6488,477.966,-587.708,2599.34,-792.782,3764.12,-899.276,4838.51,-932.14,5927.93,-1009.16,7099.31
121,39.3572,483.247,-587.673,2599.36,-792.792,3764.14,-899.266,4838.33,-932.129,5927.85,-1009.15,7099.38
122,38.8037,487.202,-587.675,2599.38,-792.745,3764.14,-899.293,4838.44,-932.176,5927.91,-1009.11,7099.39
123,39.1834,492.62,-587.707,2599.42,-792.646,3764.08,-899.6,4838.58,-932.329,5928.08,-1009.1,7099.4
124,39.0261,497.034,-587.245,2599.73,-792.615,3764.07,-900.032,4838.56,-932.367,5928.15,-1009.11,7099.36
125,38.7116,501.468,-587.26,2599.7,-792.66,3764.1,-899.848,4838.48,-932.252,5928.03,-1009.14,7099.32
126,39.9665,507.296,-587.658,2599.4,-792.747,3764.18,-899.213,4838.47,-932.072,5927.86,-1009.15,7099.34
127,40.0107,512.209,-587.678,2599.4,-792.809,3764.23,-899.164,4838.5,-932.101,5927.88,-1009.16,7099.38
128,39.3232,516.782,-587.755,2599.39,-792.806,3764.21,-899.452,4838.62,-932.257,5928,-1009.14,7099.4
129,38.9197,520.906,-587.787,2599.4,-792.742,3764.12,-899.582,4838.68,-932.387,5928.08,-1009.12,7099.37
130,39.6814,526.431,-587.742,2599.41,-792.676,3764.04,-899.537,4838.54,-932.347,5927.99,-1009.11,7099.34
131,38.825,529.848,-587.648,2599.41,-792.698,3764.03,-899.237,4838.34,-932.186,5927.81,-1009.14,7099.29
132,40.1249,536.22,-587.635,2599.4,-792.756,3764.08,-899.381,4838.18,-932.116,5927.75,-1009.2,7099.28
