Objects
100
,,Global Angle husky-radar:husky-radar,,,,,,Global Angle reflector1:reflector1,,,,,,Global Angle reflector2:reflector2,,,,,,Global Angle reflector3:reflector3,,,,,,Global Angle reflector4:reflector4,,,,,,Global Angle reflector5:reflector5,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
35,0,0.130978,-0.0431724,3.35269,30.0489,78.0195,566.28,-0.00282388,-0.000886325,0.00023052,-587.256,2599.76,117.435,0.128985,0.0316622,3.41645,-792.644,3764.13,140.978,0.150456,0.0621557,3.40064,-899.903,4838.5,129.189,0.152138,0.0354429,3.30287,-932.282,5928.05,109.421,0.0174101,-0.000646225,0.00881484,-1009.11,7099.4,60.2175
36,0,0.123329,0.0713163,3.37128,31.333,81.5894,563.145,-0.00629733,-0.000546961,-0.00154731,-587.584,2599.48,117.913,0.129001,0.031556,3.41642,-792.679,3764.18,140.969,0.152725,0.0636591,3.40083,-899.392,4838.1,129.14,0.151675,0.0353178,3.30383,-931.976,5927.72,109.246,0.0188604,-0.000830194,0.00908549,-1009.11,7099.4,60.2221
37,0,0.12172,0.0425802,3.36005,32.0209,88.6521,562.118,-0.00630377,-0.00129378,-0.0014386,-587.584,2599.45,117.91,0.129153,0.0316976,3.4165,-792.757,3764.16,140.985,0.146743,0.0591129,3.3999,-899.102,4838.06,129.264,0.151507,0.0351309,3.30401,-931.967,5927.63,109.2,0.018938,-0.00076707,0.00937037,-1009.16,7099.38,60.2276
38,0,0.127378,0.0509219,3.36251,30.9374,95.3386,562.179,-0.00611801,-4.04028e-05,-0.00184895,-587.776,2599.37,117.931,0.129175,0.0317159,3.41653,-792.863,3764.14,140.972,0.139974,0.0540487,3.39941,-899.435,4838.47,129.448,0.1515,0.0354261,3.30335,-932.258,5927.93,109.356,0.018173,-0.00057184,0.00924228,-1009.16,7099.33,60.2508
39,0,0.124483,0.0255884,3.3682,29.5889,100.839,562.938,-0.00299351,-0.0016098,0.000242642,-587.414,2599.65,117.427,0.129153,0.0317062,3.4165,-792.869,3764.08,140.981,0.137991,0.0529616,3.39864,-899.975,4838.84,129.447,0.151664,0.0355792,3.30213,-932.575,5928.29,109.511,0.0172926,-0.000318087,0.00948892,-1009.21,7099.33,60.2583
40,0,0.114351,0.0436743,3.37454,29.9454,107.479,563.947,-0.00295147,-0.00109142,0.000427332,-587.414,2599.66,117.428,0.129184,0.0316892,3.41648,-792.81,3764.07,140.964,0.136462,0.0517228,3.39846,-899.787,4838.82,129.514,0.151518,0.0357927,3.30238,-932.518,5928.25,109.484,0.0169424,-0.000206515,0.00924441,-1009.23,7099.32,60.2468
41,0,0.11328,0.0386274,3.37352,31.9596,111.884,563.625,-0.00581889,0.000271478,-0.00149395,-587.706,2599.42,117.919,0.129153,0.0316543,3.41648,-792.708,3764.1,140.953,0.143382,0.0562672,3.39957,-899.37,4838.39,129.358,0.15129,0.0353827,3.30355,-932.15,5927.88,109.305,0.0180732,-0.000432719,0.00945389,-1009.22,7099.35,60.2528
42,0,0.130214,0.0523755,3.34054,33.1818,114.481,562.971,-0.00610379,-0.000717847,-0.00126408,-587.551,2599.46,117.899,0.128927,0.0317093,3.41642,-792.623,3764.14,140.951,0.141217,0.0549145,3.39911,-898.875,4838.2,129.418,0.151506,0.0351716,3.30396,-931.94,5927.68,109.22,0.018149,-0.000704996,0.00974492,-1009.19,7099.34,60.2259
43,0,0.130885,0.0623661,3.33553,32.6428,119.759,563.355,-0.0058294,5.44816e-05,-0.00177789,-587.627,2599.42,117.928,0.128924,0.0315884,3.41642,-792.64,3764.12,140.942,0.140462,0.0542256,3.39931,-899.164,4838.39,129.44,0.152058,0.0351237,3.30352,-932.085,5927.82,109.281,0.0180592,-0.000555828,0.00969749,-1009.18,7099.32,60.228
44,0,0.114245,0.02538,3.38228,31.3987,128.795,564.236,-0.00542039,0.00221004,-0.00195553,-587.859,2599.38,117.969,0.129004,0.0316477,3.41644,-792.717,3764.09,140.968,0.139816,0.054277,3.39899,-899.749,4838.75,129.447,0.150572,0.0363519,3.30266,-932.439,5928.17,109.435,0.0174222,-0.000761192,0.00976518,-1009.18,7099.32,60.2321
