Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
65,-117.19,848.124,292.752,3148.57,170.143,4148.02,55.4379,5213.09,-57.4727,6347.17,-277.971,7348.7,2.300446,3.299896,4.364966,5.499046,6.500576,0.3,0.3,0.3,0.3,0.3
66,-120.486,859.41,293.132,3148.68,170.252,4148.14,55.5015,5213.19,-58.0298,6347.29,-277.483,7349,2.28927,3.28873,4.35378,5.48788,6.48959,0.3,0.3,0.3,0.3,0.3
67,-121.075,868.692,293.027,3148.67,170.129,4148.14,55.4735,5213.22,-58.1226,6347.38,-277.744,7348.88,2.279978,3.279448,4.344528,5.478688,6.480188,0.3,0.3,0.3,0.3,0.3
68,-121.472,877.547,292.782,3148.6,170.236,4148.1,55.3919,5213,-57.3128,6347.18,-277.857,7348.74,2.271053,3.270553,4.335453,5.469633,6.471193,0.3,0.3,0.3,0.3,0.3
69,-123.316,887.836,292.84,3148.68,170.034,4148.07,55.3678,5213.13,-57.2894,6347.22,-277.874,7348.69,2.260844,3.260234,4.325294,5.459384,6.460854,0.3,0.3,0.3,0.3,0.3
70,-124.566,897.276,293.005,3148.57,170.127,4148.09,55.4019,5213.12,-58.3202,6347.32,-277.814,7348.95,2.251294,3.250814,4.315844,5.450044,6.451674,0.3,0.3,0.3,0.3,0.3
71,-126.382,908.492,292.967,3148.74,170.227,4148.08,55.4792,5213.11,-58.119,6347.26,-277.792,7348.93,2.240248,3.239588,4.304618,5.438768,6.440438,0.3,0.3,0.3,0.3,0.3
72,-128.542,919.99,292.734,3148.62,170.118,4148.04,55.3807,5213.06,-57.5639,6347.26,-277.92,7348.66,2.22863,3.22805,4.29307,5.42727,6.42867,0.3,0.3,0.3,0.3,0.3
73,-128.275,924.213,293.096,3148.68,170.221,4148.09,55.5572,5213.15,-57.9544,6347.19,-277.86,7348.84,2.224467,3.223877,4.288937,5.422977,6.424627,0.3,0.3,0.3,0.3,0.3
74,-130.666,938.535,292.931,3148.7,170.125,4148.16,55.4028,5213.2,-58.1884,6347.41,-277.624,7348.9,2.210165,3.209625,4.274665,5.408875,6.410365,0.3,0.3,0.3,0.3,0.3
