Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
67,-75.7481,840.261,285.236,3291.1,143.905,4301.94,-7.28592,5209.1,-434.391,6348.19,-1231.16,7183.01,2.450839,3.461679,4.368839,5.507929,6.342749,0.4,0.4,0.4,0,-0.4
68,-76.4735,850.009,285.169,3291.1,144.599,4302.1,-8.13157,5208.78,-434.455,6348.33,-1230.7,7182.49,2.441091,3.452091,4.358771,5.498321,6.332481,0.4,0.4,0.4,0,-0.4
69,-76.7714,859.771,285.126,3290.91,144.507,4302.14,-9.95559,5204.24,-434.468,6348.23,-1231.25,7183.01,2.431139,3.442369,4.344469,5.488459,6.323239,0.4,0.4,0.4,0,-0.4
70,-77.5778,870.235,285.056,3291.14,144.602,4301.89,47.309,5193.57,-434.462,6348.45,-1231.21,7183.4,2.420905,3.431655,4.323335,5.478215,6.313165,0.4,0.4,0.4,0,-0.4
71,-78.194,879.996,285.241,3291.02,144.656,4301.85,46.1735,5191.9,-434.363,6348.35,-1230.85,7183.01,2.411024,3.421854,4.311904,5.468354,6.303014,0.4,0.4,0.4,0,-0.4
72,-78.7136,889.612,285.103,3291.01,143.712,4301.57,45.8791,5191.99,-434.489,6348.16,-1231.28,7182.84,2.401398,3.411958,4.302378,5.458548,6.293228,0.4,0.4,0.4,0,-0.4
73,-79.877,900.586,285.131,3290.86,144.505,4301.86,45.8406,5191.91,-434.465,6348.39,-1231.05,7183.21,2.390274,3.401274,4.291324,5.447804,6.282624,0.4,0.4,0.4,0,-0.4
74,-80.8054,911.066,285.212,3291.09,144.24,4301.67,47.0328,5192.59,-434.362,6348.3,-1230.97,7183.25,2.380024,3.390604,4.281524,5.437234,6.272184,0.4,0.4,0.4,0,-0.4
75,-80.9754,920.686,284.942,3291,144.593,4301.75,46.5343,5192.5,-434.631,6348.31,-1231.48,7182.83,2.370314,3.381064,4.271814,5.427624,6.262144,0.4,0.4,0.4,0,-0.4
76,-85.3672,933.957,285.081,3291,144.552,4301.81,45.6696,5191.86,-434.502,6348.29,-1231.31,7183.09,2.357043,3.367853,4.257903,5.414333,6.249133,0.4,0.4,0.4,0,-0.4
77,-84.64,941.265,285.224,3291.08,144.564,4301.84,47.0407,5191.97,-434.359,6348.32,-1230.81,7183.14,2.349815,3.360575,4.250705,5.407055,6.241875,0.4,0.4,0.4,0,-0.4
78,-85.5601,952.043,285.068,3291.06,144.649,4301.78,45.5964,5191.51,-434.509,6348.28,-1231.26,7182.87,2.339017,3.349737,4.239467,5.396237,6.230827,0.4,0.4,0.4,0,-0.4
